"reel_index","reel_shortcode","reel_url","publish_date","publish_date_raw","caption_full","hook_text","hook_type","duration_sec","duration_sec_raw","views","viewers_estimated_beta_reach","views_followers_pct","views_nonfollowers_pct","likes","comments","saves","shares","interactions_total","interactions_followers_pct","interactions_nonfollowers_pct","accounts_engaged","follows","follows_per_1000_views","saves_per_1000_views","shares_per_1000_views","comments_per_1000_views","likes_per_1000_views","interactions_per_1000_views","accounts_engaged_per_1000_views","primary_category","series","subtype_clean","subtype_raw","presentation_format_clean","presentation_format_raw","rotem_appears_clean","rotem_appears_raw","meir_appears_clean","meir_appears_raw","both_appear_clean","both_appear_raw","cta","commercial_status","source","notes"
"25","DWvhPCViCPa","https://www.instagram.com/rotem_adini/reel/DWvhPCViCPa/","2026-04-05","2026-04-05","שוקו פאי מצה 😍 הקינוח הכי מושלם שאפשר להכין ממצה [full Passover matzah french-toast roll recipe with Nutella and white chocolate]","אם ככה במקרה (on-screen text, partial)","Other","20.43","20.43","80859","1552","8%","92%","639","11","296","559","1527","16.8%","83.2%","1284","14","0.17","3.66","6.91","0.14","7.9","18.88","15.88","Food","None","Dessert","Dessert (Passover/matzah-based dessert)","Voice-over demo","Voice-over (torso/hands visible, no face in inspected frame)","Yes","Yes (torso/hands visible)","No","No","No","No","No CTA","Organic","newly_inspected_for_latest40_task","Newly inspected for the latest-40 task. Holiday-themed (Passover) recipe. Strong shares (559) relative to likes (639). Action-bar comment count (11) matched Insights (11) exactly. On-screen hook text was only partially legible from the captured frame."
"26","DWqM_oqiJXi","https://www.instagram.com/rotem_adini/reel/DWqM_oqiJXi/","2026-04-03","2026-04-03","מצה בריי מושחתת עם גבינות 💘 [full savory matzah brei recipe with mozzarella and Bulgarian cheese]","שהכי בא לי (on-screen text, partial - 'what I feel like most')","Relatable statement","18.78","18.78","236704","1516","10.9%","89.1%","1058","15","962","717","2775","25.7%","74.3%","2376","45","0.19","4.06","3.03","0.06","4.47","11.72","10.04","Food","None","Savory","Savory (Passover matzah brei with cheese)","Voice-over demo","Voice-over / hands-only demo","Yes","Yes (hands only)","No","No (meir43214 only comments)","No","No","No CTA","Organic","newly_inspected_for_latest40_task","Newly inspected for the latest-40 task. High saves (962) and shares (717) relative to likes (1,058). DATA CONFLICT: action-bar comment count 35 vs Insights תגובות 15."
"27","DWYQmhiCFLu","https://www.instagram.com/rotem_adini/reel/DWYQmhiCFLu/","2026-03-27","2026-03-27","עוגת פירמידה לפסח ברוכים הבאים לפרק השביעי בסדרה שלנו ""איך לשדרג עוגת ביסקוויטים"" והפעם עוגת ביסקוויטים בצורת פירמידה מושלמת לפסח [full wine-cookie pyramid cake recipe with peanut-butter cream]","עוגת פירמידה לפסח (on-screen text, result-first)","Result-first","22.67","22.67","129240","1448","11.9%","88.1%","960","53","339","403","1774","27.3%","72.7%","1485","40","0.31","2.62","3.12","0.41","7.43","13.73","11.49","Food","Biscuit Cake series (episode 7 - Passover pyramid cake)","Biscuit cake","Biscuit cake","Voice-over demo","Voice-over / hands-and-torso demo (holding the cake)","Yes","Yes (torso/hands, face not fully confirmed in inspected frame)","No","No (meir43214 only comments)","No","No","No CTA","Organic","newly_inspected_for_latest40_task","Newly inspected for the latest-40 task. Holiday-themed (Passover) creative format episode of the Biscuit Cake series. DATA CONFLICT: action-bar comment count 59 vs Insights תגובות 53."
"28","DRZzKvNCDf7","https://www.instagram.com/rotem_adini/reel/DRZzKvNCDf7/","2026-03-26","2026-03-26","קרפ בולללל כמו של הקניון רק ב75 קלוריות ליחידה. מה נצטרך? 2 ביצים, כוס חד פעמית חלב (240 מל), 60 גרם קמח, 10 גרם חמאה מומסת, תמצית וניל, 2 כפות תחליף סוכר. [full recipe + method]. כל הבלילה: 600 קלוריות, 29 חלבון, 57.8 פחמימה, 27.1 שומן. לי יצאו 8 קרפים כך שכל קרפ 75 קלוריות. #דלקלוריות","אני רוצה להכיר את הבן אדם (on-screen text overlay)","Relatable statement","19.17","19.17","754175","1704","0.4%","99.6%","2934","28","2775","1934","7724","1.6%","98.4%","6563","110","0.15","3.68","2.56","0.04","3.89","10.24","8.7","Food","N/A","Dessert","Quick recipe / Dessert (low-calorie crepe)","Hands-only demo","Hands-only demo (voice-over likely, not confirmed)","Unclear","Unclear (hands only visible in inspected frame)","No","No","No","No","No CTA visible in extracted text","Organic","newly_inspected_for_latest40_task","Newly inspected for the latest-40 task. High-reach low-calorie recipe reel (754,175 views is the highest of the 19 newly-inspected reels in this batch). DATA CONFLICT: front-end action-bar numbers displayed as '2.9K / 92 / 53' near the Insights button, but Insights panel shows comments=28, which does not match either 92 or 53 — recorded as-is per evidence rules, not resolved. Also note: raw page text briefly showed stray values '2,934 / 92 / 0:02' at the very top of the Insights extraction, consistent with the previously-documented partial-render artifact; the fuller panel text below is what was used for all recorded metrics."
"29","DWTyHsjiDvf","https://www.instagram.com/rotem_adini/reel/DWTyHsjiDvf/","2026-03-25","2026-03-25","עוגיות בראוניז במילוי שוקולד לבן נדירות לפסח 😍 קראנצ׳יות מבחוץ ורכות מבפנים ✨ אהבתם? הגיבו ״מתכון״ וישר אשלח לכם אותו 💘","פסח עוד שנייה כאן (on-screen text overlay, approx. 'Passover is just a moment away')","Series intro/Curiosity (holiday countdown framing)","23.57","23.57","148213","1535","3.9%","96.1%","3182","1820","2453","2255","9815","6.9%","93.1%","7283","173","1.17","16.55","15.21","12.28","21.47","66.22","49.14","Food","N/A","Dessert","Dessert (Passover-themed brownie cookies)","Hands-only demo","Hands-only demo","Unclear","Unclear (hands only visible in inspected frame)","No","No (meir43214 only comments)","No","No","Comment 'מתכון' (recipe) to receive the recipe via DM","Organic","newly_inspected_for_latest40_task","Newly inspected for the latest-40 task. High comment volume driven directly by the comment-to-receive-recipe CTA (front-end bar '1.9K' comments matches Insights תגובות=1,820, no conflict here)."
"30","DWJzStViPL7","https://www.instagram.com/rotem_adini/reel/DWJzStViPL7/","2026-03-21","2026-03-21","תייגו את הפרטנר שצריך לעשות איתכם דייט פצצות שוקו 🍫💣 #זוגיות #דייטים #רעיונותלזוגות","זה הסימן שלכם POV: לעשות ערב פצצת שוקו זוגי (on-screen text overlay)","Curiosity (POV framing)","21.29","21.29","37371","1784","20.3%","79.7%","228","16","58","75","381","40.8%","59.2%","330","5","0.13","1.55","2.01","0.43","6.1","10.2","8.83","Couple","N/A (date-idea reel, not part of a formally numbered series)","Couple game","Couple game / date idea (chocolate bomb date night)","Hands-only demo","POV hands-only demo","Unclear","Unclear (hands-only POV shot; caption indicates a couple's date-night premise but neither Rotem's nor Meir's face is confirmed in the inspected frame)","Unclear","Unclear (see above; meir43214 comments on the post but is not confirmed visually)","Unclear","Unclear","Tag the partner you'd do this chocolate-bomb date with","Organic","newly_inspected_for_latest40_task","Newly inspected for the latest-40 task. Track used is credited 'Arik Einstein, Yoni Rechter - Adon Shoko'. Lowest-reach reel inspected so far in this batch (37,371 views). Front-end bar comment count (16) matches Insights תגובות (16), no conflict."
"31","DWGVi7kCOtU","https://www.instagram.com/rotem_adini/reel/DWGVi7kCOtU/","2026-03-20","2026-03-20","הפרק השישי בסדרה שלנו ״איך לשדרג עוגת ביסקווטים״ והפעם- עוגת ביסקוויטים בתוך עוגת קרפים! 😍 אהבתם? תגיבו ״מתכון״ וישר אשלח אליכם ✌🏻","לפרק השישי!! (on-screen text overlay)","Series intro","21.08","21.08","24245","1366","25%","75%","157","42","53","20","277","57.7%","42.3%","221","8","0.33","2.19","0.82","1.73","6.48","11.43","9.12","Food","Biscuit Cake series (episode 6 - biscuit cake inside a crepe cake)","Biscuit cake","Biscuit cake","Talking to camera","Talking to camera, holding the finished cake","Yes","Yes (face clearly visible)","No","No (meir43214 only comments)","No","No","Comment 'מתכון' (recipe) to receive the recipe via DM","Organic","newly_inspected_for_latest40_task","Newly inspected for the latest-40 task. DATA CONFLICT: front-end action-bar comment count 45 vs Insights תגובות 42."
"32","DV0RzSKCEw6","https://www.instagram.com/rotem_adini/reel/DV0RzSKCEw6/","2026-03-13","2026-03-13","הפרק החמישי בסדרה שלי ״איך לשדרג עוגת ביסקוויטים ✨״ - עוגת ביסקוויטים לימונענע ✊🏻 לימון בקינוחים מביא פרשיות מיוחדת וזה בין האהובים עליי אהבתם? תגיבו ״מתכון״ וישר אשלח לכם את המתכון 😍 אוהבים לימון בקינוחים? 🍋","כל מי שמבין עניין (on-screen text overlay, approx. 'if you know, you know')","Relatable statement","25.77","25.77","27743","1432","26.7%","73.3%","232","178","148","79","642","53.9%","46.1%","450","20","0.72","5.33","2.85","6.42","8.36","23.14","16.22","Food","Biscuit Cake series (episode 5 - lemon-mint biscuit cake)","Biscuit cake","Biscuit cake","Hands-only demo","Hands-only demo","Unclear","Unclear (hands only visible in inspected frame)","No","No (meir43214 only comments)","No","No","Comment 'מתכון' (recipe) to receive the recipe via DM","Organic","newly_inspected_for_latest40_task","Newly inspected for the latest-40 task. DATA CONFLICT: front-end action-bar comment count 213 vs Insights תגובות 178."
"33","DVtVucACPZf","https://www.instagram.com/rotem_adini/reel/DVtVucACPZf/","2026-03-10","2026-03-10","הדייט שלנו לכבוד האות ה' דייט המבורגרים 🍔 דייט ביתי מושלם שאפשר לעשות עכשיו בתקופת מלחמה 🫡 תשלחו לפרטנר שצריך לעשות איתכם דייט כזה 😍","דייט ה'המבורגרים של רותם&מאיר (title card overlay)","Series intro","38.77","38.77","76577","1899","5.5%","94.5%","1586","31","282","630","2543","12%","88%","2379","200","2.61","3.68","8.23","0.4","20.71","33.21","31.07","Couple","A-Z Dates series (letter ה / Hey - hamburger date)","A-Z date","A-Z date","Dialogue / scene","Dialogue / scene (both seated at a table eating)","Yes","Yes","Yes","Yes","Yes","Yes","Send to the partner you'd want to do this date with","Organic","newly_inspected_for_latest40_task","Newly inspected for the latest-40 task. DATA CONFLICT: front-end action-bar comment count 32 vs Insights תגובות 31."
"34","DVgMhwciCwr","https://www.instagram.com/rotem_adini/reel/DVgMhwciCwr/","2026-03-05","2026-03-05","טבלת שוקולד קרמל ובייגלה שיוצאת היסטרית!!! אהבתם? 😍 הגיבו ״מתכון״ והוא ישר יישלח אליכם ✨","לפני איזה שנתיים (on-screen text overlay, approx. 'about two years ago')","Curiosity","26.2","26.2","44975","1294","12.5%","87.5%","581","98","143","82","910","25.2%","74.8%","800","12","0.27","3.18","1.82","2.18","12.92","20.23","17.79","Food","N/A","Dessert","Dessert (chocolate-caramel-bagele bar)","Hands-only demo","Hands-only demo","Unclear","Unclear (hands only visible in inspected frame)","No","No","No","No","Comment 'מתכון' (recipe) to receive the recipe via DM","Organic","newly_inspected_for_latest40_task","Newly inspected for the latest-40 task. DATA CONFLICT: front-end action-bar comment count 103 vs Insights תגובות 98."
"35","DVY6pDrCBog","https://www.instagram.com/rotem_adini/reel/DVY6pDrCBog/","2026-03-02","2026-03-02","מתכון מושלם לערימת פנקייקים 🥞 מצרכים: 100 גרם קמח לבן, 5 גרם אבקת אפייה (חצי שקית), 20 גרם סוכר, קורט מלח, ביצה אחת לארג׳, 80 גרם יוגורט יווני, 40 גרם חלב, 15 גרם שמן, תמצית וניל או גרידת לימון או תפוז, 25 גרם שוקולד לבן קצוץ, 25 גרם שוקולד חלב קצוץ. [full method]. מומלץ להגיש עם גלידה ולבזוק מעל אבקת סוכר. בתאבוןןן 🥰","N/A (no on-screen hook text captured in inspected frame; recipe presented directly)","Other","22.69","22.69","20057","1161","28.2%","71.8%","107","24","94","40","270","67.1%","32.9%","211","5","0.25","4.69","1.99","1.2","5.33","13.46","10.52","Food","N/A","Dessert","Dessert (chocolate-chip pancake stack)","Talking to camera","Talking to camera / demo in kitchen","Yes","Yes","No","No (meir43214 only comments)","No","No","No CTA visible in extracted text","Organic","newly_inspected_for_latest40_task","Newly inspected for the latest-40 task. Front-end action-bar comment count (24) matches Insights תגובות (24), no conflict."
"36","DVQPqNZCIIe","https://www.instagram.com/rotem_adini/reel/DVQPqNZCIIe/","2026-02-27","2026-02-27","קבלו את הפרק הרביעי בסדרה שלי ״איך לשדרג עוגת ביסקוויטים״ והפעם- עוגת קראנץ׳ נוטלה ✨ [full ingredients + method: biscuit-milk sandwiches, whipped cream/sour cream/instant pudding layer, crunch topping of feuilletine + Nutella, chilled overnight]. מגישים למחרת ובתאבון 🩷","אם חייתם בכדור הארץ (on-screen text overlay, approx. 'if you've lived on planet Earth...')","Series intro / Relatable statement","23.85","23.85","314385","1436","9.2%","90.8%","1962","780","1931","1407","6118","20.2%","79.8%","5026","145","0.46","6.14","4.48","2.48","6.24","19.46","15.99","Food","Biscuit Cake series (episode 4 - Nutella crunch cake)","Biscuit cake","Biscuit cake","Hands-only demo","Hands-only demo","Unclear","Unclear (hands only visible in inspected frame)","No","No (meir43214 only comments)","No","No","Comment 'מתכון' (recipe) to receive the recipe via DM","Organic","newly_inspected_for_latest40_task","Newly inspected for the latest-40 task. Highest-reach reel in this batch (314,385 views). DATA CONFLICT: front-end action-bar comment count displayed as '1.1K' vs Insights תגובות=780. Note: this view count is coincidentally close to the ~314K figure mentioned in the prior baseline document's Section 7 ('Additional Reel datapoint'), but that baseline entry also cited ~595 follows and ~2,974 shares, neither of which matches this reel's Insights data (145 follows, 1,407 shares) — per task instructions, no assumption is made that this is the same Reel referenced in the baseline; recorded as an independent, freshly-observed data point only."
"37","DU3boeaCJ1N","https://www.instagram.com/rotem_adini/reel/DU3boeaCJ1N/","2026-02-17","2026-02-17","תמונת מסך חדשה ⛷️💘","N/A (no on-screen hook text; a co-authored lifestyle/selfie clip, not a recipe/tutorial format)","Other","7.83","7.83","18058","1161","16.9%","83.1%","164","26","14","14","219","44.5%","55.5%","188","0","0","0.78","0.78","1.44","9.08","12.13","10.41","Couple","N/A","Personal","Personal relationship moment (co-authored ski-trip selfie clip)","Selfie / dialogue","Selfie / dialogue","Yes","Yes","Yes","Yes","Yes","Yes","No CTA","Organic","newly_inspected_for_latest40_task","Newly inspected for the latest-40 task. This is the oldest of the current 40-newest-Reels set (published 2026-02-17). Co-authored post (jointly credited to meir43214 and rotem_adini). DATA CONFLICT: front-end action-bar comment count 29 vs Insights תגובות 26. Both profile_activity and follows recorded as 0 (unlike most other reels in this dataset where these two figures are equal and non-zero)."
"38","DUQoaesiFaL","https://www.instagram.com/rotem_adini/reel/DUQoaesiFaL/","2026-02-02","2026-02-02","האני באטר טוסט 🍯 לא להאמין איך קינוח בלי שוקולד יכול להיות כל כך טעים ומיוחד! רוצים את המתכון? ❤️ תרשמו לי ואשלח לכם 😍","האני באטר טוסט (on-screen text overlay)","Result-first","23.29","23.29","23634","1053","23.8%","76.2%","154","23","31","26","236","47.6%","52.4%","199","9","0.38","1.31","1.1","0.97","6.52","9.99","8.42","Food","N/A","Dessert","Dessert (honey-butter toast)","Talking to camera","Talking to camera","Yes","Yes","No","No","No","No","Comment/DM for the recipe ('תרשמו לי ואשלח לכם')","Organic","newly_inspected_for_latest40_task","Newly inspected for the latest-40 task (replacement for a dropped pinned reel). DATA CONFLICT: front-end action-bar comment count 24 vs Insights תגובות 23."
"39","DUBNvgoCK-A","https://www.instagram.com/rotem_adini/reel/DUBNvgoCK-A/","2026-01-27","2026-01-27","ממשיכים בסדרת הדייטים שלנו לפי הא״ב והפעם האות ד׳- דייט דגים 🐠 תרשמו לי אם אהבתם ואם יש לכם רעיון מה אנחנו מכינים לכם לאות ה 🥰👇🏻❤️ #דייט #זוגיות","ממשיכים לעשות (on-screen text overlay, 'continuing to make...')","Series intro","35.17","35.17","14240","1131","20.8%","79.2%","173","18","56","47","298","41.9%","58.1%","271","8","0.56","3.93","3.3","1.26","12.15","20.93","19.03","Couple","A-Z Dates series (letter ד / Dalet - fish date)","A-Z date","A-Z date","Montage","Montage (table setup, candles, food)","Unclear","Likely (established couple-date series premise; faces not directly visible in inspected frame)","Unclear","Likely (meir43214 comments on the post; same caveat as above)","Unclear","Likely (see above)","Follow/subscribe if you liked it; suggest an idea for the next letter (ה)","Organic","newly_inspected_for_latest40_task","Newly inspected for the latest-40 task (replacement for a dropped pinned reel). DATA CONFLICT: front-end action-bar comment count 19 vs Insights תגובות 18."
"40","DT2HFK7iDoC","https://www.instagram.com/rotem_adini/reel/DT2HFK7iDoC/","2026-01-23","2026-01-23","ברוכים הבאים לפרק השלישי בסדרה שלי ״איך לשדרג עוגת ביסקוויטים״ והפעם עוגת ביסקוויטים מוקה [full ingredients + method: coffee-milk-soaked biscuits, whipped cream/sugar/instant pudding/instant coffee cream, white chocolate-coffee ganache topping, chilled overnight]. ובתאבון 🤍","כל מכורי המוקה (on-screen text overlay, approx. 'all mocha addicts')","Series intro / Relatable statement","19.46","19.46","67861","1096","31.8%","68.2%","241","8","290","85","630","62.6%","37.4%","538","17","0.25","4.27","1.25","0.12","3.55","9.28","7.93","Food","Biscuit Cake series (episode 3 - mocha biscuit cake)","Biscuit cake","Biscuit cake","Hands-only demo","Hands-only demo","Unclear","Unclear (hands only visible in inspected frame)","No","No","No","No","No explicit CTA visible in extracted text (caption was noted as edited/'ערוך')","Organic","newly_inspected_for_latest40_task","Newly inspected for the latest-40 task (replacement for a dropped pinned reel; oldest reel in the final 40-reel dataset). DATA CONFLICT: front-end action-bar comment count 14 vs Insights תגובות 8 (larger-than-usual gap). Caption shown with an 'ערוך' (edited) label in the interface, meaning the caption may have been modified after original publish."
"41","DTx0sZCCEEn","https://www.instagram.com/rotem_adini/reel/DTx0sZCCEEn/","2026-01-21","2026-01-21","מתכון למגולגלות נוטלה וקורנפלקס הקורנפלקס מביא קראנציות לעוגייה וזה יוצא וואווו [full ingredients + method: cocoa shortbread dough, Nutella-cornflake filling, rolled, frozen, baked, cooled, dusted with powdered sugar]","את השילוב הזה (on-screen text overlay, approx. 'this combination')","Curiosity","22.07","22.07","148604","1000","17.1%","82.9%","604","9","591","349","1562","34.4%","65.6%","1309","24","0.16","3.98","2.35","0.06","4.06","10.51","8.81","Food","N/A (informal 'cornflake desserts' theme shared with reel DZeb5pNoXKH, per that row's notes)","Dessert","Dessert (Nutella-cornflake rolled cookies)","Hands-only demo","Hands-only demo","Unclear","Unclear (hands only visible in inspected frame)","No","No","No","No","No CTA visible in extracted text","Organic","newly_inspected_for_latest70_task","Newly inspected for the latest-70 task. DATA CONFLICT: front-end action-bar comment count 31 vs Insights תגובות 9 (large gap)."
"42","DTkEeLliJY4","https://www.instagram.com/rotem_adini/reel/DTkEeLliJY4/","2026-01-16","2026-01-16","ברוכים הבאים לפרק השני בסדרה שלי איך לשדרג עוגת ביסקוויטים ✨ והפעם- עוגת ביסקוויטים קרמבו [full ingredients + method: krembo meringue layered with biscuits and vanilla-pudding cream, dark/milk chocolate ganache topping]. ובתאבון ❤️✨","שהייתי מכינה (on-screen text overlay, 'that I would make')","Series intro","22.83","22.83","145050","979","16.6%","83.4%","697","31","528","243","1510","30.1%","69.9%","1318","39","0.27","3.64","1.68","0.21","4.81","10.41","9.09","Food","Biscuit Cake series (episode 2 - Krembo biscuit cake)","Biscuit cake","Biscuit cake","Talking to camera","Talking to camera, holding the finished cake","Yes","Yes (face clearly visible)","No","No","No","No","No explicit CTA visible in extracted text","Organic","newly_inspected_for_latest70_task","Newly inspected for the latest-70 task. Seasonal-product tie-in (Krembo, a winter-only Israeli snack) referenced directly in a viewer comment. DATA CONFLICT: front-end action-bar comment count 53 vs Insights תגובות 31."
"43","DTfpa0OiANO","https://www.instagram.com/rotem_adini/reel/DTfpa0OiANO/","2026-01-14","2026-01-14","ברצינות מישהו אי פעם סירב לכם כשהצעתם לו חתיכת בראוניז??? לא שמעתי על דבר כזה…. אז בכל מקרה קבלו מתכון לבראוניז אמסטרדם שהוא נדיר!!! [full ingredients + method: dark chocolate-butter brownie batter with a white chocolate bar center]","עד היום (on-screen text overlay, 'to this day')","Question","20.65","20.65","171766","1102","9.6%","90.4%","1439","24","1584","740","3806","19.5%","80.5%","3269","61","0.36","9.22","4.31","0.14","8.38","22.16","19.03","Food","N/A","Dessert","Dessert (Amsterdam brownies with white chocolate center)","Hands-only demo","Hands-only demo","Unclear","Unclear (hands only visible in inspected frame)","No","No (meir43214 only comments)","No","No","No explicit CTA visible in extracted text","Organic","newly_inspected_for_latest70_task","Newly inspected for the latest-70 task. DATA CONFLICT: front-end action-bar comment count 35 vs Insights תגובות 24."
"44","DTakHHtCDbV","https://www.instagram.com/rotem_adini/reel/DTakHHtCDbV/","2026-01-12","2026-01-12","ללא ספק זה הפיקניק הכי מושקע שעשינו עד היום ממשיכים בסדרת הדייטים שלנו לפי הא״ב והפעם החלק השני לדייט גבינות שלנו 🧀❤️ מסקרן מי יצליח לגלות מה נעשה לדייט באות ד 🫣","הפיקניק הכי מושקע (on-screen text overlay, 'the most elaborate picnic')","Series intro","33.2","33.2","15784","728","23.7%","76.3%","196","18","51","54","323","42.3%","57.7%","288","11","0.7","3.23","3.42","1.14","12.42","20.46","18.25","Couple","A-Z Dates series (letter ג / Gimel, part 2 - cheese picnic date)","A-Z date","A-Z date","Dialogue / scene","Dialogue / scene (both seated on a picnic blanket)","Yes","Yes","Yes","Yes","Yes","Yes","No explicit CTA (teases the upcoming letter ד date)","Organic","newly_inspected_for_latest70_task","Newly inspected for the latest-70 task. This is the second part of a two-part letter Gimel (ג) date within the A-Z Dates series. DATA CONFLICT: front-end action-bar comment count 19 vs Insights תגובות 18."
"45","DTSHHILiKlP","https://www.instagram.com/rotem_adini/reel/DTSHHILiKlP/","2026-01-09","2026-01-09","ברוכים הבאים לסדרת המתכונים החדשה שלי- איך לשדרג עוגת ביסקוויטים ✨ ולכבוד חלק 1 הכנתי עוגת ביסקוויטים פיסטוק💚 [full ingredients + method: pistachio-cream biscuit cake, white chocolate-pistachio ganache with heart decoration]. למחרת חותכים מגישים ובתאבון ❤️❤️❤","N/A (opening frame was a static thumbnail with a play-button overlay; no on-screen text captured before video playback)","Series intro","","N/A (video element's .duration property returned null at the time of inspection; not estimated)","76405","958","19.4%","80.6%","339","14","367","115","843","42.6%","57.4%","700","25","0.33","4.8","1.51","0.18","4.44","11.03","9.16","Food","Biscuit Cake series (episode 1 - pistachio biscuit cake; this is the series-launch reel, per the caption's 'welcome to my new recipe series' framing)","Biscuit cake","Biscuit cake","Static / overhead shot","Overhead/top-down shot of the finished cake","No","No (top-down food shot; no person visible in inspected frame)","No","No (meir43214 only comments, expressing excitement for the new series)","No","No","No explicit CTA visible in extracted text","Organic","newly_inspected_for_latest70_task","Newly inspected for the latest-70 task. This is the launch/first episode of the 'Biscuit Cake' series, whose episodes 2-14 were already present in the reused/newer portions of this dataset. DATA CONFLICT: front-end action-bar comment count 15 vs Insights תגובות 14."
"46","DTLLYa_CGIK","https://www.instagram.com/rotem_adini/reel/DTLLYa_CGIK/","2026-01-06","2026-01-06","אין יותר מושלם ומנחם מאשר לסיים את היום עם קערת פסטה מפנקתתת אז הכנתי לכם כאן מתכון לפסטה בטטה נדירה 🍠 [full ingredients + method: sweet potato, onion, garlic, cream, parmesan pasta sauce]. ובתאבון 🩷🩷","N/A (no on-screen hook text captured; overhead shot of the finished dish)","Other","16.03","16.03","22346","900","25.2%","74.8%","151","10","136","35","335","54.6%","45.4%","285","7","0.31","6.09","1.57","0.45","6.76","14.99","12.75","Food","N/A","Savory","Savory (sweet potato pasta)","Static / overhead shot","Overhead/top-down shot of the finished dish","No","No (top-down food shot; no person visible in inspected frame)","No","No (meir43214 only comments)","No","No","No explicit CTA visible in extracted text","Organic","newly_inspected_for_latest70_task","Newly inspected for the latest-70 task. Front-end action-bar comment count (10) matches Insights תגובות (10), no conflict."
"47","DSz-McCCPTE","https://www.instagram.com/rotem_adini/reel/DSz-McCCPTE/","2025-12-28","2025-12-28","ממשיכים עם סדרת הדייטים לפי הא״ב שלנו 🤍 והפעם האות ג'-דייט גבינות 🧀 רעיון קליל לדייט זוגי 🥰 החלק השני (ומה שעשינו עם הגבינות) יחכה בסרטון הבא","רוצים לראות (on-screen text overlay, 'want to see')","Series intro","30.2","30.2","18379","1008","24.2%","75.8%","158","22","32","30","246","45.1%","54.9%","207","9","0.49","1.74","1.63","1.2","8.6","13.38","11.26","Couple","A-Z Dates series (letter ג / Gimel, part 1 - cheese date)","A-Z date","A-Z date","Talking to camera","Talking to camera / dialogue","Yes","Yes","Yes","Yes","Yes","Yes","Teases part 2 ('the next video')","Organic","newly_inspected_for_latest70_task","Newly inspected for the latest-70 task. This is part 1 of the letter Gimel (ג) date (part 2 is reel DTakHHtCDbV, reel_index 44 in this dataset). Two viewer comments speculated that the letter ב (Bet) had been skipped in the A-Z Dates series ('לא עשיתם את האות ב׳' / 'you didn't do the letter B'); this was later resolved during this same collection session -- reel DSAYG6ciEEF (reel_index 52 in this dataset, published 2025-12-08, beer pong date) is the letter ב episode, so no gap actually exists in the sequence. DATA CONFLICT: front-end action-bar comment count 25 vs Insights תגובות 22."
"48","DSklcOgCHXu","https://www.instagram.com/rotem_adini/reel/DSklcOgCHXu/","2025-12-22","2025-12-22","בורקס גבינה ענקי למה להכין מלא בורקסים קטנים כשאפשר להכין אחד ענקי? 😍 [full ingredients + method: puff pastry, cottage cheese, bulgarian cheese, mozzarella filling]. בתאבון 🥰","N/A (no on-screen hook text; recipe presented directly)","Question","17.77","17.77","33005","869","24.8%","75.2%","177","13","64","34","292","51%","49%","257","1","0.03","1.94","1.03","0.39","5.36","8.85","7.79","Food","N/A","Savory","Savory (giant cheese burekas)","Talking to camera","Talking to camera","Yes","Yes","No","No (meir43214 only comments)","No","No","No explicit CTA visible in extracted text","Organic","newly_inspected_for_latest70_task","Newly inspected for the latest-70 task. DATA CONFLICT: front-end action-bar comment count 17 vs Insights תגובות 13."
"49","DScc__5CIIp","https://www.instagram.com/rotem_adini/reel/DScc__5CIIp/","2025-12-19","2025-12-19","דייט לוחות חזון לכבוד 2026 🍾✨ תייגו מישהו שחייב לעשות איתכם דייט כזה 🥰👇🏻","דייט לוחות חזון 2026 (on-screen text overlay, 'vision-board date 2026')","Series intro (New Year themed, not a numbered series)","18.47","18.47","19848","943","19.8%","80.2%","155","14","43","119","333","35.4%","64.6%","275","3","0.15","2.17","6","0.71","7.81","16.78","13.86","Couple","N/A (New Year-themed date idea, not part of a numbered series)","Couple game","Couple game / date idea (2026 vision board)","Selfie / dialogue","Selfie / dialogue","Yes","Yes","Yes","Yes","Yes","Yes","Tag someone who should do this date with you","Organic","newly_inspected_for_latest70_task","Newly inspected for the latest-70 task. DATA CONFLICT: front-end action-bar comment count 15 vs Insights תגובות 14."
"50","DSXpZrKiPj_","https://www.instagram.com/rotem_adini/reel/DSXpZrKiPj_/","2025-12-17","2025-12-17","שילבתי את שני הדברים שאני הכי אוהבת בעולם עוגת ביסקוויטים ושוקולד ויצא לי טבלת שוקולד עוגת ביסקוויטים מטורפת!! 😍 [full ingredients + method: white chocolate bar shell, whipped cream-pudding filling, coffee-milk-soaked biscuits]. בתאבון 😍❤️❤️❤️","שאני מכורה לשוקולד (on-screen text overlay, 'that I'm addicted to chocolate')","Relatable statement","14.23","14.23","260753","876","6.7%","93.3%","1669","50","624","683","3043","16.3%","83.7%","2612","61","0.23","2.39","2.62","0.19","6.4","11.67","10.02","Food","N/A (thematically related to the 'Biscuit Cake' series -- combines biscuit-cake technique with a chocolate-bar shell format -- but not captioned as a numbered episode of it)","Dessert","Dessert (chocolate-bar biscuit cake)","Talking to camera","Talking to camera","Yes","Yes","No","No (meir43214 only comments)","No","No","No explicit CTA visible in extracted text","Organic","newly_inspected_for_latest70_task","Newly inspected for the latest-70 task. High-reach reel (260,753 views), second-highest in this batch of 30. DATA CONFLICT: front-end action-bar comment count 71 vs Insights תגובות 50."
